score,language,counter,total_counter,normalized
-1.0,de,7,1328.0,0.005271084337349397
-0.9,de,58,1328.0,0.043674698795180725
-0.8,de,104,1328.0,0.0783132530120482
-0.7,de,20,1328.0,0.015060240963855422
-0.6,de,343,1328.0,0.2582831325301205
-0.5,de,2,1328.0,0.0015060240963855422
-0.4,de,10,1328.0,0.007530120481927711
-0.3,de,4,1328.0,0.0030120481927710845
-0.2,de,21,1328.0,0.01581325301204819
-0.1,de,16,1328.0,0.012048192771084338
0.0,de,698,1328.0,0.5256024096385542
0.1,de,3,1328.0,0.002259036144578313
0.2,de,2,1328.0,0.0015060240963855422
0.3,de,2,1328.0,0.0015060240963855422
0.4,de,6,1328.0,0.004518072289156626
0.5,de,15,1328.0,0.011295180722891566
0.6,de,9,1328.0,0.00677710843373494
0.7,de,4,1328.0,0.0030120481927710845
0.8,de,4,1328.0,0.0030120481927710845
-1.0,en,206,159530.0,0.0012912931736977372
-0.9,en,2651,159530.0,0.016617564094527675
-0.8,en,6815,159530.0,0.042719237760922714
-0.7,en,4897,159530.0,0.03069642073591174
-0.6,en,19859,159530.0,0.12448442299254059
-0.5,en,5293,159530.0,0.033178712467874384
-0.4,en,5212,159530.0,0.03267097097724566
-0.3,en,3949,159530.0,0.02475396477151633
-0.2,en,4068,159530.0,0.02549990597379803
-0.1,en,3331,159530.0,0.02088008525042312
0.0,en,36735,159530.0,0.2302701686203222
0.1,en,2865,159530.0,0.01795900457594183
0.2,en,4080,159530.0,0.025575126935372658
0.3,en,4333,159530.0,0.027161035541904344
0.4,en,7167,159530.0,0.04492571930044506
0.5,en,13802,159530.0,0.08651664263774839
0.6,en,8563,159530.0,0.05367642449695982
0.7,en,6903,159530.0,0.043270858145803295
0.8,en,8821,159530.0,0.055293675170814266
0.9,en,8516,159530.0,0.05338180906412587
1.0,en,1464,159530.0,0.009176957312104307
-0.9,ca,1,164.0,0.006097560975609756
-0.6,ca,3,164.0,0.018292682926829267
-0.5,ca,1,164.0,0.006097560975609756
-0.4,ca,5,164.0,0.03048780487804878
-0.3,ca,1,164.0,0.006097560975609756
-0.2,ca,1,164.0,0.006097560975609756
-0.1,ca,2,164.0,0.012195121951219513
0.0,ca,131,164.0,0.7987804878048781
0.2,ca,2,164.0,0.012195121951219513
0.3,ca,3,164.0,0.018292682926829267
0.4,ca,4,164.0,0.024390243902439025
0.5,ca,3,164.0,0.018292682926829267
0.6,ca,3,164.0,0.018292682926829267
0.7,ca,3,164.0,0.018292682926829267
0.8,ca,1,164.0,0.006097560975609756
-0.9,cy,4,8583.0,0.0004660375160200396
-0.8,cy,15,8583.0,0.0017476406850751485
-0.7,cy,40,8583.0,0.004660375160200396
-0.6,cy,801,8583.0,0.09332401258301293
-0.5,cy,33,8583.0,0.003844809507165327
-0.4,cy,60,8583.0,0.006990562740300594
-0.3,cy,11,8583.0,0.001281603169055109
-0.2,cy,5,8583.0,0.0005825468950250495
-0.1,cy,1,8583.0,0.0001165093790050099
0.0,cy,7507,8583.0,0.8746359081906093
0.1,cy,2,8583.0,0.0002330187580100198
0.2,cy,15,8583.0,0.0017476406850751485
0.3,cy,9,8583.0,0.0010485844110450892
0.4,cy,16,8583.0,0.0018641500640801585
0.5,cy,51,8583.0,0.005941978329255505
0.6,cy,7,8583.0,0.0008155656530350694
0.7,cy,4,8583.0,0.0004660375160200396
0.8,cy,2,8583.0,0.0002330187580100198
-0.9,es,6,3209.0,0.001869741352446245
-0.8,es,19,3209.0,0.005920847616079776
-0.7,es,23,3209.0,0.007167341851043939
-0.6,es,97,3209.0,0.03022748519788096
-0.5,es,51,3209.0,0.015892801495793082
-0.4,es,65,3209.0,0.020255531318167652
-0.3,es,284,3209.0,0.0885010906824556
-0.2,es,9,3209.0,0.0028046120286693674
-0.1,es,8,3209.0,0.0024929884699283265
0.0,es,2316,3209.0,0.7217201620442505
0.1,es,26,3209.0,0.008102212527267061
0.2,es,12,3209.0,0.00373948270489249
0.3,es,112,3209.0,0.03490183857899657
0.4,es,38,3209.0,0.011841695232159551
0.5,es,57,3209.0,0.017762542848239325
0.6,es,46,3209.0,0.014334683702087878
0.7,es,17,3209.0,0.005297600498597694
0.8,es,19,3209.0,0.005920847616079776
0.9,es,4,3209.0,0.0012464942349641633
-0.9,et,1,102.0,0.00980392156862745
-0.8,et,2,102.0,0.0196078431372549
-0.6,et,5,102.0,0.049019607843137254
-0.5,et,6,102.0,0.058823529411764705
-0.4,et,2,102.0,0.0196078431372549
-0.3,et,2,102.0,0.0196078431372549
-0.2,et,3,102.0,0.029411764705882353
-0.1,et,1,102.0,0.00980392156862745
0.0,et,62,102.0,0.6078431372549019
0.1,et,1,102.0,0.00980392156862745
0.2,et,1,102.0,0.00980392156862745
0.3,et,3,102.0,0.029411764705882353
0.5,et,8,102.0,0.0784313725490196
0.6,et,4,102.0,0.0392156862745098
0.8,et,1,102.0,0.00980392156862745
-0.9,fr,3,1677.0,0.0017889087656529517
-0.8,fr,4,1677.0,0.002385211687537269
-0.7,fr,6,1677.0,0.0035778175313059034
-0.6,fr,27,1677.0,0.016100178890876567
-0.5,fr,27,1677.0,0.016100178890876567
-0.4,fr,18,1677.0,0.01073345259391771
-0.3,fr,15,1677.0,0.008944543828264758
-0.2,fr,14,1677.0,0.008348240906380441
-0.1,fr,44,1677.0,0.02623732856290996
0.0,fr,1325,1677.0,0.7901013714967203
0.1,fr,2,1677.0,0.0011926058437686344
0.2,fr,16,1677.0,0.009540846750149075
0.3,fr,18,1677.0,0.01073345259391771
0.4,fr,26,1677.0,0.015503875968992248
0.5,fr,72,1677.0,0.04293381037567084
0.6,fr,39,1677.0,0.023255813953488372
0.7,fr,11,1677.0,0.00655933214072749
0.8,fr,7,1677.0,0.0041741204531902205
0.9,fr,3,1677.0,0.0017889087656529517
-0.9,it,2,957.0,0.0020898641588296763
-0.7,it,4,957.0,0.0041797283176593526
-0.6,it,8,957.0,0.008359456635318705
-0.5,it,11,957.0,0.011494252873563218
-0.3,it,34,957.0,0.035527690700104496
-0.2,it,4,957.0,0.0041797283176593526
-0.1,it,3,957.0,0.003134796238244514
0.0,it,722,957.0,0.754440961337513
0.1,it,3,957.0,0.003134796238244514
0.2,it,18,957.0,0.018808777429467086
0.3,it,78,957.0,0.08150470219435736
0.4,it,9,957.0,0.009404388714733543
0.5,it,15,957.0,0.01567398119122257
0.6,it,25,957.0,0.02612330198537095
0.7,it,9,957.0,0.009404388714733543
0.8,it,9,957.0,0.009404388714733543
0.9,it,3,957.0,0.003134796238244514
-0.9,ja,1,1227.0,0.0008149959250203749
-0.8,ja,12,1227.0,0.009779951100244499
-0.7,ja,14,1227.0,0.011409942950285249
-0.6,ja,161,1227.0,0.13121434392828035
-0.5,ja,9,1227.0,0.007334963325183374
-0.4,ja,11,1227.0,0.008964955175224124
-0.3,ja,8,1227.0,0.006519967400162999
-0.2,ja,10,1227.0,0.008149959250203748
-0.1,ja,2,1227.0,0.0016299918500407497
0.0,ja,737,1227.0,0.6006519967400163
0.1,ja,3,1227.0,0.0024449877750611247
0.2,ja,10,1227.0,0.008149959250203748
0.3,ja,8,1227.0,0.006519967400162999
0.4,ja,20,1227.0,0.016299918500407497
0.5,ja,129,1227.0,0.10513447432762836
0.6,ja,30,1227.0,0.02444987775061125
0.7,ja,12,1227.0,0.009779951100244499
0.8,ja,31,1227.0,0.02526487367563162
0.9,ja,18,1227.0,0.014669926650366748
1.0,ja,1,1227.0,0.0008149959250203749
-0.9,nl,1,226.0,0.004424778761061947
-0.8,nl,10,226.0,0.04424778761061947
-0.7,nl,2,226.0,0.008849557522123894
-0.6,nl,18,226.0,0.07964601769911504
-0.5,nl,4,226.0,0.017699115044247787
-0.4,nl,3,226.0,0.01327433628318584
-0.1,nl,3,226.0,0.01327433628318584
0.0,nl,160,226.0,0.7079646017699115
0.1,nl,2,226.0,0.008849557522123894
0.2,nl,1,226.0,0.004424778761061947
0.3,nl,6,226.0,0.02654867256637168
0.4,nl,3,226.0,0.01327433628318584
0.5,nl,6,226.0,0.02654867256637168
0.6,nl,5,226.0,0.022123893805309734
0.7,nl,1,226.0,0.004424778761061947
0.8,nl,1,226.0,0.004424778761061947
-0.9,pl,1,281.0,0.0035587188612099642
-0.8,pl,3,281.0,0.010676156583629894
-0.7,pl,3,281.0,0.010676156583629894
-0.6,pl,18,281.0,0.06405693950177936
-0.5,pl,2,281.0,0.0071174377224199285
-0.4,pl,5,281.0,0.017793594306049824
-0.3,pl,3,281.0,0.010676156583629894
-0.1,pl,2,281.0,0.0071174377224199285
0.0,pl,221,281.0,0.7864768683274022
0.1,pl,1,281.0,0.0035587188612099642
0.3,pl,2,281.0,0.0071174377224199285
0.4,pl,3,281.0,0.010676156583629894
0.5,pl,4,281.0,0.014234875444839857
0.6,pl,8,281.0,0.028469750889679714
0.7,pl,3,281.0,0.010676156583629894
0.8,pl,2,281.0,0.0071174377224199285
-0.9,ro,1,58.0,0.017241379310344827
-0.8,ro,1,58.0,0.017241379310344827
-0.6,ro,2,58.0,0.034482758620689655
-0.4,ro,1,58.0,0.017241379310344827
-0.3,ro,4,58.0,0.06896551724137931
-0.2,ro,1,58.0,0.017241379310344827
-0.1,ro,2,58.0,0.034482758620689655
0.0,ro,25,58.0,0.43103448275862066
0.1,ro,2,58.0,0.034482758620689655
0.2,ro,3,58.0,0.05172413793103448
0.3,ro,1,58.0,0.017241379310344827
0.4,ro,2,58.0,0.034482758620689655
0.5,ro,8,58.0,0.13793103448275862
0.6,ro,2,58.0,0.034482758620689655
0.8,ro,2,58.0,0.034482758620689655
0.9,ro,1,58.0,0.017241379310344827
-0.9,tl,1,493.0,0.002028397565922921
-0.8,tl,3,493.0,0.006085192697768763
-0.7,tl,3,493.0,0.006085192697768763
-0.6,tl,15,493.0,0.030425963488843813
-0.5,tl,11,493.0,0.02231237322515213
-0.4,tl,11,493.0,0.02231237322515213
-0.3,tl,10,493.0,0.02028397565922921
-0.2,tl,2,493.0,0.004056795131845842
0.0,tl,357,493.0,0.7241379310344828
0.1,tl,2,493.0,0.004056795131845842
0.2,tl,7,493.0,0.014198782961460446
0.3,tl,8,493.0,0.016227180527383367
0.4,tl,21,493.0,0.04259634888438134
0.5,tl,19,493.0,0.038539553752535496
0.6,tl,11,493.0,0.02231237322515213
0.7,tl,4,493.0,0.008113590263691683
0.8,tl,7,493.0,0.014198782961460446
0.9,tl,1,493.0,0.002028397565922921
-0.8,ht,1,117.0,0.008547008547008548
-0.5,ht,6,117.0,0.05128205128205128
-0.4,ht,2,117.0,0.017094017094017096
-0.3,ht,4,117.0,0.03418803418803419
-0.1,ht,2,117.0,0.017094017094017096
0.0,ht,82,117.0,0.7008547008547008
0.3,ht,1,117.0,0.008547008547008548
0.4,ht,4,117.0,0.03418803418803419
0.5,ht,3,117.0,0.02564102564102564
0.6,ht,9,117.0,0.07692307692307693
0.7,ht,3,117.0,0.02564102564102564
-0.8,in,1,1310.0,0.0007633587786259542
-0.7,in,7,1310.0,0.0053435114503816794
-0.6,in,15,1310.0,0.011450381679389313
-0.5,in,28,1310.0,0.021374045801526718
-0.4,in,23,1310.0,0.017557251908396947
-0.3,in,9,1310.0,0.006870229007633588
-0.2,in,6,1310.0,0.004580152671755725
-0.1,in,7,1310.0,0.0053435114503816794
0.0,in,990,1310.0,0.7557251908396947
0.1,in,6,1310.0,0.004580152671755725
0.2,in,7,1310.0,0.0053435114503816794
0.3,in,15,1310.0,0.011450381679389313
0.4,in,14,1310.0,0.010687022900763359
0.5,in,95,1310.0,0.07251908396946564
0.6,in,61,1310.0,0.046564885496183206
0.7,in,6,1310.0,0.004580152671755725
0.8,in,13,1310.0,0.009923664122137405
0.9,in,7,1310.0,0.0053435114503816794
-0.8,pt,2,498.0,0.004016064257028112
-0.7,pt,4,498.0,0.008032128514056224
-0.6,pt,11,498.0,0.02208835341365462
-0.5,pt,2,498.0,0.004016064257028112
-0.4,pt,10,498.0,0.020080321285140562
-0.3,pt,19,498.0,0.03815261044176707
-0.2,pt,3,498.0,0.006024096385542169
0.0,pt,396,498.0,0.7951807228915663
0.2,pt,3,498.0,0.006024096385542169
0.3,pt,4,498.0,0.008032128514056224
0.4,pt,9,498.0,0.018072289156626505
0.5,pt,14,498.0,0.028112449799196786
0.6,pt,10,498.0,0.020080321285140562
0.7,pt,3,498.0,0.006024096385542169
0.8,pt,6,498.0,0.012048192771084338
0.9,pt,1,498.0,0.002008032128514056
1.0,pt,1,498.0,0.002008032128514056
-0.8,zh,4,258.0,0.015503875968992248
-0.7,zh,1,258.0,0.003875968992248062
-0.6,zh,24,258.0,0.09302325581395349
-0.4,zh,4,258.0,0.015503875968992248
-0.3,zh,2,258.0,0.007751937984496124
-0.2,zh,5,258.0,0.01937984496124031
0.0,zh,194,258.0,0.751937984496124
0.4,zh,4,258.0,0.015503875968992248
0.5,zh,9,258.0,0.03488372093023256
0.6,zh,5,258.0,0.01937984496124031
0.7,zh,1,258.0,0.003875968992248062
0.8,zh,2,258.0,0.007751937984496124
0.9,zh,3,258.0,0.011627906976744186
-0.7,fa,1,149.0,0.006711409395973154
-0.6,fa,3,149.0,0.020134228187919462
0.0,fa,142,149.0,0.9530201342281879
0.5,fa,3,149.0,0.020134228187919462
-0.7,ta,1,243.0,0.00411522633744856
-0.6,ta,3,243.0,0.012345679012345678
-0.5,ta,2,243.0,0.00823045267489712
-0.3,ta,1,243.0,0.00411522633744856
-0.1,ta,2,243.0,0.00823045267489712
0.0,ta,232,243.0,0.9547325102880658
0.5,ta,1,243.0,0.00411522633744856
0.9,ta,1,243.0,0.00411522633744856
-0.7,ur,1,215.0,0.004651162790697674
-0.6,ur,2,215.0,0.009302325581395349
-0.4,ur,1,215.0,0.004651162790697674
0.0,ur,209,215.0,0.9720930232558139
0.1,ur,1,215.0,0.004651162790697674
0.6,ur,1,215.0,0.004651162790697674
-0.6,ar,5,529.0,0.00945179584120983
-0.5,ar,1,529.0,0.001890359168241966
0.0,ar,515,529.0,0.9735349716446124
0.4,ar,3,529.0,0.005671077504725898
0.5,ar,4,529.0,0.007561436672967864
0.6,ar,1,529.0,0.001890359168241966
-0.6,bn,7,120.0,0.058333333333333334
0.0,bn,107,120.0,0.8916666666666667
0.5,bn,6,120.0,0.05
-0.6,el,1,122.0,0.00819672131147541
0.0,el,120,122.0,0.9836065573770492
0.1,el,1,122.0,0.00819672131147541
-0.6,fi,6,97.0,0.061855670103092786
-0.5,fi,1,97.0,0.010309278350515464
-0.4,fi,6,97.0,0.061855670103092786
-0.3,fi,1,97.0,0.010309278350515464
-0.2,fi,2,97.0,0.020618556701030927
0.0,fi,71,97.0,0.7319587628865979
0.2,fi,1,97.0,0.010309278350515464
0.3,fi,1,97.0,0.010309278350515464
0.4,fi,2,97.0,0.020618556701030927
0.5,fi,4,97.0,0.041237113402061855
0.6,fi,2,97.0,0.020618556701030927
-0.6,hi,81,1046.0,0.07743785850860421
-0.5,hi,2,1046.0,0.0019120458891013384
-0.4,hi,9,1046.0,0.008604206500956023
-0.3,hi,5,1046.0,0.004780114722753346
-0.2,hi,1,1046.0,0.0009560229445506692
-0.1,hi,3,1046.0,0.0028680688336520078
0.0,hi,914,1046.0,0.8738049713193117
0.1,hi,1,1046.0,0.0009560229445506692
0.2,hi,2,1046.0,0.0019120458891013384
0.3,hi,5,1046.0,0.004780114722753346
0.4,hi,9,1046.0,0.008604206500956023
0.5,hi,8,1046.0,0.0076481835564053535
0.6,hi,4,1046.0,0.0038240917782026767
0.7,hi,1,1046.0,0.0009560229445506692
0.8,hi,1,1046.0,0.0009560229445506692
-0.6,mr,12,96.0,0.125
-0.4,mr,1,96.0,0.010416666666666666
0.0,mr,82,96.0,0.8541666666666666
0.5,mr,1,96.0,0.010416666666666666
-0.6,th,4,362.0,0.011049723756906077
-0.2,th,2,362.0,0.0055248618784530384
0.0,th,338,362.0,0.9337016574585635
0.2,th,1,362.0,0.0027624309392265192
0.4,th,2,362.0,0.0055248618784530384
0.5,th,10,362.0,0.027624309392265192
0.6,th,5,362.0,0.013812154696132596
0.0,gu,48,50.0,0.96
0.4,gu,1,50.0,0.02
0.5,gu,1,50.0,0.02
